NUI;'2022-JUL';'2022-AUG';'2022-SEP';'2022-OCT';'2022-NOV';'2022-DEC';'2023-JAN';'2023-FEB';'2023-MAR';'2023-APR';'2023-MAY';'2023-JUN';'2023-JUL';'2023-AUG';'2023-SEP';'2023-OCT';'2023-NOV';'2023-DEC'
100022;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
100096;;;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];SIN DESVIACION SIGNIFICATIVA;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;
100106;;;;;;;;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;
100152;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;
100188;;;;;;;;;;;;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];MAL REPORTADO EN TC2
100194;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
100198;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
100236;;;;;;;;;;;;PARA REVISION;;;;;;
100254;;;;;;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
100274;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
100362;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
100384;;;;;;;;;;;;;PARA REVISION;;;;;
100396;;;;;;;;;;;;;;;;;;
100436;;;;;;;;;;;;;;;;11 [11-MEDIDOR NO REGISTRADO];;
100442;;;;;;;;16 [16-MEDIDOR DANADO];;;;;;;;;;
100450;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
100482;;;;;;;;PARA REVISION;;;;;;;;;;
100502;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
100544;;;;;;;;;;;;;;;;;;
100552;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV]
100556;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
100606;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;21 [21-MEDIDOR DESCONECT SIN SERV];4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;
100666;10 [10-MEDIDOR INEXISTENTE O DESC];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;10 [10-MEDIDOR INEXISTENTE O DESC];;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
100684;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
100712;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;
100728;;;PARA REVISION;;;;;;;;;;;;;;;
100740;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;;;;;;;;
100776;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
