NUI,Date,Value
100274,'2022-JUL',99 [99-LECTURA CONFIRMADA]
100552,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
100606,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
100666,'2022-JUL',10 [10-MEDIDOR INEXISTENTE O DESC]
100712,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
100920,'2022-JUL',PARA REVISION
100978,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
101450,'2022-JUL',MAL REPORTADO EN TC2
101548,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
101670,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
101672,'2022-JUL',MAL REPORTADO EN TC2
101794,'2022-JUL',MAL REPORTADO EN TC2
102024,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
102052,'2022-JUL',99 [99-LECTURA CONFIRMADA]
102090,'2022-JUL',MAL REPORTADO EN TC2
102192,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
102220,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
102254,'2022-JUL',MAL REPORTADO EN TC2
102368,'2022-JUL',99 [99-LECTURA CONFIRMADA]
102690,'2022-JUL',MAL REPORTADO EN TC2
102826,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
102876,'2022-JUL',99 [99-LECTURA CONFIRMADA]
102878,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
103048,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
103108,'2022-JUL',MAL REPORTADO EN TC2
103144,'2022-JUL',MAL REPORTADO EN TC2
103212,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
103300,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
103376,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
103688,'2022-JUL',99 [99-LECTURA CONFIRMADA]
103894,'2022-JUL',13 [13-MEDIDOR VOLTEADO O DESCOLG]
104284,'2022-JUL',PARA REVISION
