NUI;year;mes;Value;ValueNum
100552;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
100606;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
100666;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
100712;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
101670;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
102192;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
102826;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
103048;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
103376;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
103894;2022;JUL;13 [13-MEDIDOR VOLTEADO O DESCOLG];13
105450;2022;JUL;16 [16-MEDIDOR DANADO];16
105966;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
106152;2022;JUL;16 [16-MEDIDOR DANADO];16
106862;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
107656;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
108422;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
108882;2022;JUL;16 [16-MEDIDOR DANADO];16
109190;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
109290;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
109294;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
109298;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
109822;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
110560;2022;JUL;16 [16-MEDIDOR DANADO];16
111494;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
111950;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
111988;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
112120;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
112300;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
112304;2022;JUL;16 [16-MEDIDOR DANADO];16
112486;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
112528;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
112638;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
114056;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
114142;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
114186;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
114194;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
