Zona;Contrato;Orden;Usuario;Estado;Ejecucion;mes;ano;Codigo;Anomalia;NUnidad;Unidad;NCausa;Causa;UGenera;Descripcion;Motivo;Cuadrilla;kWhRec;Factor
PA;MEC 231.2023;24405666;500311;Pendiente;2023-02-21 10:46:34-05;2;2023;1 / 30001;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;JSAAVEDRA;Posible anomalia;;ZTY1364;980;
PA;MEC 231.2023;25001058;381732;Pendiente;2023-03-23 16:20:55-05;3;2023;30004 / 30004;OTRAS ANOMAL�AS REINCIDENTE PARE / OTRAS ANOMAL�AS REINCIDENTE PARE;0;FACTURACION;0;CAUSA NO DETERMINADA;LMACHABANJOY;Posible anomalia;;ZTY1365;0;
NO;MON 280.2023;25348472;594128;Pendiente;2023-04-11 17:23:15-05;4;2023;30002 / 30001 / 30004 / 1;REINCIDENTE PARE / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / OTRAS ANOMAL�AS REINCIDENTE PARE / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;EOVIEDO123;Posible anomalia;;ZTY1421;607;
PA;MEC 231.2023;25590826;1154933;Pendiente;2023-04-24 08:13:50-05;4;2023;1 / 1 / 30001 / 30001;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;FACTURACION;0;CAUSA NO DETERMINADA;JSAAVEDRA;Posible anomalia;;ZTY1365;274;
PA;P Y 242.2023;25745933;1089289;Aprobada;2024-01-09 13:10:44-05;1;2024;1 / 82 / 82;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa / Se Corrige Anomal�a;0;FACTURACION;0;CAUSA NO DETERMINADA;PORELLANA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1451;459;
PA;P Y 242.2023;25906393;1045229;Aprobada;2024-01-11 15:40:33-05;1;2024;82 / 82 / 1;Linea Directa / Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;FACTURACION;0;CAUSA NO DETERMINADA;ABURGOS123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1451;179;
NO;MON 280.2023;25940558;1197124;Pendiente;2023-05-09 16:13:23-05;5;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;HCORDOBA;Posible anomalia;;ZTY1423;659;
PA;MEC 231.2023;25947533;1165937;Pendiente;2023-05-19 08:52:43-05;5;2023;1 / 2;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA INDETERMINA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Posible anomalia;;ZTY1361;350;
PA;MEC 231.2023;26098257;1103061;Aprobada;2023-05-18 16:37:54-05;5;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1363;0;
CE;DES 100.2018;26246980;1247124;Rechazada;2024-04-16 09:26:37-05;4;2024;431;Orden Factor;0;FACTURACION;0;CAUSA NO DETERMINADA;EROMO123;Anomalia verificada con acta digital;No Procede Pare;ZTY144;;40
PA;P Y 242.2023;26470010;1217799;Aprobada;2024-01-11 09:30:27-05;1;2024;82 / 1 / 82;Se Corrige Anomal�a / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Linea Directa;0;FACTURACION;0;CAUSA NO DETERMINADA;ABURGOS123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1451;78;
PA;MEC 231.2023;26580680;428301;Aprobada;2023-06-15 09:42:13-05;6;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1362;344;
PA;MEC 231.2023;26782701;1102517;Aprobada;2023-06-22 16:19:50-05;6;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1361;330;
PA;MEC 231.2023;26782703;1137858;Aprobada;2023-06-21 10:41:20-05;6;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1361;578;
PA;MEC 231.2023;26862658;1087418;Aprobada;2024-01-12 11:22:00-05;1;2024;82 / 82 / H1 / 38 / 18 / 1;Se Corrige Anomal�a / Linea Directa / Reconexion No Autorizada / Inspecci�n T�cnica Conforme / Conexion Directa Desde Bornera / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;EGUSTIN123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1363;325;
PA;MEC 231.2023;26862677;1063399;Aprobada;2024-01-12 10:02:31-05;1;2024;82 / 82 / 18 / 1 / 38;Linea Directa / Se Corrige Anomal�a / Conexion Directa Desde Bornera / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / Inspecci�n T�cnica Conforme;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;EGUSTIN123;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1363;209;
PA;MEC 231.2023;27130772;423032;Aprobada;2023-07-11 08:49:00-05;7;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1363;352;
PA;P Y 242.2023;27131774;1059850;Rechazada;2024-01-09 13:59:05-05;1;2024;38;Inspecci�n T�cnica Conforme;0;FACTURACION;0;CAUSA NO DETERMINADA;OBANDA;Anomalia verificada con acta digital;No Procede Pare;ZTY1451;;
PA;DIC 209.2023;27190530;8545024;Aprobada;2023-07-18 09:20:26-05;7;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;OBURBANO;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1404;6278;
PA;DIC 209.2023;27306629;901676;Aprobada;2023-07-26 22:01:47-05;7;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1403;7929;
PA;MEC 231.2023;27353246;376166;Aprobada;2023-07-24 10:17:16-05;7;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1363;270;
PA;MEC 231.2023;27353252;426298;Aprobada;2023-07-24 10:46:11-05;7;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1363;287;
PA;MEC 231.2023;27353270;1103731;Aprobada;2023-07-24 09:22:58-05;7;2023;30004;OTRAS ANOMAL�AS REINCIDENTE PARE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Otras Anomalias;ZTY1362;364;
PA;MEC 231.2023;27353295;1191606;Aprobada;2023-08-05 08:39:44-05;8;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;GES. ENERGETICA;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1361;820;
PA;MEC 231.2023;27381055;1157525;Pendiente;2023-07-21 16:45:49-05;7;2023;12 / 2 / 30001 / 30002 / 10 / 30006 / 11 / 30004 / 1 / 7;CUANDO USUARIOS SUMINISTRAN ENERG�A A CUALQUIER T�TULO A OTR / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA INDETERMINA / OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE / REINCIDENTE PARE / NO CONFORMIDAD DEL MEDIDOR CERTIFICADA POR UN LABORATORIO / ADICION DE ENERGIA RECUPERADA / ALTERACI�N DE LA POSICI�N DEL MEDIDOR DE INDUCCI�N / OTRAS ANOMAL�AS REINCIDENTE PARE / ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA / MEDIDOR CON ELEMENTOS EXTRA�OS O ALTERACIONES;0;AT. CLIENTE;0;CAUSA NO DETERMINADA;JSAAVEDRA;Posible anomalia;;ZTY1366;266;
PA;DIC 209.2023;27921264;8520470;Aprobada;2023-08-18 15:43:57-05;8;2023;1;ACOMETIDA O DERIVACI�N NO AUTORIZADA HACIA CARGA CONOCIDA;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Creacion Sello Tapa Principal #4;ZTY1404;1255;
PA;DIC 209.2023;27921265;8520471;Aprobada;2023-08-18 16:05:59-05;8;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;GSANDOVAL;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1404;1711;
PA;DIC 209.2023;27952726;8520420;Aprobada;2023-08-18 15:18:01-05;8;2023;30001;OTRAS ANOMAL�AS QUE PUEDEN DETECTARSE Y COMPROBARSE;0;CONTROL PERDIDAS;0;CAUSA NO DETERMINADA;JSAAVEDRA;Anomalia verificada y aprobada;Luminaria Encendida;ZTY1404;1686;
