NUI,year,mes,Value,ValueNum,Month
100552,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
100606,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
100666,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
100712,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
101670,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
102192,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
102826,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
103048,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
103376,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
103894,2022,JUL,13 [13-MEDIDOR VOLTEADO O DESCOLG],13,7
105450,2022,JUL,16 [16-MEDIDOR DANADO],16,7
105966,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
106152,2022,JUL,16 [16-MEDIDOR DANADO],16,7
106862,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
107656,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
108422,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
108882,2022,JUL,16 [16-MEDIDOR DANADO],16,7
109190,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
109290,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
109294,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
109298,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
109822,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
110560,2022,JUL,16 [16-MEDIDOR DANADO],16,7
111494,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
111950,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
111988,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
112120,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
112300,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
112304,2022,JUL,16 [16-MEDIDOR DANADO],16,7
112486,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
112528,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
112638,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
114056,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
114142,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
114186,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
114194,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
114852,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
115056,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
115064,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
117078,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
118122,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
118518,2022,JUL,16 [16-MEDIDOR DANADO],16,7
118730,2022,JUL,16 [16-MEDIDOR DANADO],16,7
118868,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
118880,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
120426,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
126870,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
128998,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
129354,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
130468,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
137988,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
138052,2022,JUL,16 [16-MEDIDOR DANADO],16,7
138314,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
141656,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
147032,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
148256,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
148268,2022,JUL,16 [16-MEDIDOR DANADO],16,7
148698,2022,JUL,16 [16-MEDIDOR DANADO],16,7
149162,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
149420,2022,JUL,16 [16-MEDIDOR DANADO],16,7
150388,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
150530,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
150706,2022,JUL,16 [16-MEDIDOR DANADO],16,7
150848,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
151272,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
154208,2022,JUL,13 [13-MEDIDOR VOLTEADO O DESCOLG],13,7
154832,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
155252,2022,JUL,16 [16-MEDIDOR DANADO],16,7
156098,2022,JUL,16 [16-MEDIDOR DANADO],16,7
156126,2022,JUL,16 [16-MEDIDOR DANADO],16,7
157644,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
159260,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
159732,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
159772,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
159950,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
160006,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
161860,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
161980,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
162010,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
163080,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
164824,2022,JUL,13 [13-MEDIDOR VOLTEADO O DESCOLG],13,7
167184,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
167230,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
167240,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
